Gap ID,NIST CSF Function,Governance Area,Current State,Gap Identified,Risk Level,Business Impact,Recommended Remediation,Priority,Target Timeline,Status
NIST-GAP-001,Govern,Cybersecurity Policy,Policies exist but annual review evidence is incomplete,Security policies are not reviewed and approved on a consistent annual schedule,Medium,Outdated policies may not reflect current business or security requirements,Establish an annual policy review cycle and retain approval evidence,Medium,90 Days,Open
NIST-GAP-002,Govern,Roles and Responsibilities,Security responsibilities exist but are not fully documented,Cybersecurity ownership and accountability are unclear across departments,Medium,Unclear ownership may delay incident response or remediation activities,Create a formal cybersecurity RACI matrix with accountable owners,Medium,60 Days,Open
NIST-GAP-003,Govern,Risk Ownership,Risk ownership is documented for some but not all risks,Some High and Medium risks do not have clearly assigned owners,Medium,Risks may remain unresolved because no individual is accountable for treatment,Assign a risk owner to every High and Medium risk,High,30 Days,Open
NIST-GAP-004,Govern,Risk Acceptance,Risk acceptance occurs informally,Formal approval and documentation are not consistently retained for accepted risks,Medium,Management may lack visibility into accepted cybersecurity exposure,Create a documented risk acceptance workflow with approval requirements,Medium,60 Days,Open
NIST-GAP-005,Govern,Third-Party Risk Management,Vendor assessments occur but reassessment is inconsistent,High-risk vendors are not consistently reassessed,High,Vendor control weaknesses may introduce unmanaged cybersecurity risk,Implement annual reassessments for high-risk vendors and track remediation,High,60 Days,Open
NIST-GAP-006,Govern,Compliance Oversight,Compliance responsibilities are only partially documented,A complete compliance obligations register with accountable owners does not exist,Medium,Regulatory or contractual requirements may be overlooked,Create and maintain a compliance obligations register,Medium,90 Days,Open
NIST-GAP-007,Protect,Access Control,Role-based access controls are implemented but reviews are inconsistent,User access is not recertified on a consistent schedule,High,Users may retain unnecessary access to sensitive systems or information,Perform quarterly access reviews and remove unnecessary permissions,High,30 Days,Open
NIST-GAP-008,Protect,Vulnerability Management,Vulnerability scanning occurs but some findings exceed remediation targets,Severity-based remediation timelines are not consistently enforced,High,Known vulnerabilities may remain exploitable longer than acceptable,Enforce severity-based remediation SLAs and document approved exceptions,High,30 Days,Open
NIST-GAP-009,Detect,Detection Coverage,Detection rules exist but formal coverage reviews are inconsistent,Detection capabilities are not systematically reviewed for monitoring gaps,Medium,Threat activity may go undetected because important use cases are missing,Perform quarterly detection coverage reviews and document identified gaps,Medium,90 Days,Open
NIST-GAP-010,Respond,Incident Response Testing,Tabletop exercises are not performed consistently,Incident response procedures are not validated through recurring exercises,High,Teams may respond slowly or inconsistently during a real cyber incident,Conduct annual tabletop exercises and track corrective actions,High,60 Days,Open
NIST-GAP-011,Recover,Backup Restoration Testing,Backups are performed but restore testing is inconsistent,The organization lacks consistent evidence that backups can be successfully restored,Medium,Recovery may fail during ransomware system failure or disaster,Perform quarterly restoration testing and document recovery results,Medium,90 Days,Open
