Control ID,NIST CSF Function,Governance Area,Control Objective,Current State,Status,Risk Level,Evidence Expected,Recommended Action
GV-001,Govern,Cybersecurity Policy,Ensure cybersecurity policies are documented and reviewed regularly,Policies exist but annual review evidence is incomplete,Partial,Medium,Current security policies and policy review records,Establish an annual policy review cycle and retain approval evidence
GV-002,Govern,Roles and Responsibilities,Define cybersecurity roles and accountability across departments,Security responsibilities exist but are not fully documented,Partial,Medium,Responsibility matrix and role descriptions,Create a formal cybersecurity RACI matrix
GV-003,Govern,Risk Management,Maintain a formal cybersecurity risk management process,A risk register is maintained and reviewed,Implemented,Low,Risk register and review meeting records,Continue recurring risk reviews and management reporting
GV-004,Govern,Risk Ownership,Assign owners to identified cybersecurity risks,Risk ownership is documented for some but not all risks,Partial,Medium,Risk register with named owners,Assign a risk owner to every High and Medium risk
GV-005,Govern,Risk Acceptance,Document approval for accepted cybersecurity risk,Risk acceptance occurs informally,Partial,Medium,Risk acceptance forms and management approvals,Create a formal risk acceptance workflow
GV-006,Govern,Third-Party Risk Management,Manage cybersecurity risk from vendors and service providers,Vendor assessments occur but reassessment is inconsistent,Partial,High,Vendor questionnaires risk ratings and reassessment records,Implement annual reassessments for high-risk vendors
GV-007,Govern,Compliance Oversight,Track cybersecurity compliance obligations and responsibilities,Compliance responsibilities are partially documented,Partial,Medium,Compliance register and assigned owners,Maintain a compliance obligations register with accountable owners
ID-001,Identify,Asset Management,Maintain an inventory of organizational systems and assets,A current asset inventory is maintained,Implemented,Low,Asset inventory and ownership records,Continue quarterly asset inventory validation
ID-002,Identify,Risk Identification,Identify threats vulnerabilities and business risks,Risk assessments are performed periodically,Implemented,Low,Risk assessment documentation,Continue recurring risk assessments
PR-001,Protect,Access Control,Restrict system access according to business need,Role-based access controls are implemented but reviews are inconsistent,Partial,High,Access review reports and approval records,Perform quarterly access reviews and remove unnecessary permissions
PR-002,Protect,Security Awareness,Provide recurring cybersecurity awareness training,Annual security awareness training is provided,Implemented,Low,Training completion reports,Continue annual training and phishing simulations
PR-003,Protect,Vulnerability Management,Remediate vulnerabilities according to risk and severity,Vulnerability scanning occurs but some findings exceed remediation targets,Partial,High,Vulnerability reports and remediation tickets,Enforce severity-based remediation SLAs
DE-001,Detect,Centralized Logging,Collect security logs from critical systems,Centralized security logging is implemented,Implemented,Low,SIEM dashboards and log source inventory,Continue monitoring critical log sources
DE-002,Detect,Detection Coverage,Review alert and detection coverage regularly,Detection rules exist but formal coverage reviews are inconsistent,Partial,Medium,Detection rule inventory and coverage review records,Perform quarterly detection coverage reviews
RS-001,Respond,Incident Response Planning,Maintain a documented incident response plan,A documented incident response plan exists,Implemented,Low,Incident response plan,Review the incident response plan annually
RS-002,Respond,Incident Response Testing,Validate incident response procedures through exercises,Tabletop exercises are not performed consistently,Partial,High,Tabletop exercise reports and lessons learned,Conduct annual incident response tabletop exercises
RC-001,Recover,Backup Operations,Maintain reliable backups for critical systems,Regular backups are performed,Implemented,Low,Backup logs and backup policy,Continue monitoring backup success
RC-002,Recover,Backup Restoration Testing,Verify backups can be successfully restored,Restore testing is inconsistent,Partial,Medium,Backup restoration test reports,Perform quarterly restoration testing and retain evidence
