Risk ID,Risk Description,NIST CSF Function,Governance Area,Likelihood,Impact,Risk Score,Risk Rating,Existing Control,Control Gap,Recommended Remediation
NIST-R-001,Third-party vendor compromise,Govern,Third-Party Risk Management,3,4,12,High,Vendor security assessments are performed,High-risk vendors are not consistently reassessed,Implement annual reassessments for high-risk vendors and track remediation
NIST-R-002,Unclear cybersecurity ownership,Govern,Roles and Responsibilities,3,3,9,Medium,Security responsibilities exist informally,Responsibilities are not fully documented across departments,Create a formal cybersecurity RACI matrix
NIST-R-003,Unowned cybersecurity risk,Govern,Risk Ownership,3,4,12,High,A risk register is maintained,Some High and Medium risks lack assigned owners,Assign accountable owners to all High and Medium risks
NIST-R-004,Informal risk acceptance,Govern,Risk Acceptance,3,3,9,Medium,Risk acceptance decisions occur,Formal approval evidence is inconsistent,Create a documented risk acceptance workflow with management approval
NIST-R-005,Excessive user permissions,Protect,Access Control,3,5,15,High,Role-based access controls are implemented,Recurring access reviews are inconsistent,Perform quarterly access reviews and remove unnecessary permissions
NIST-R-006,Delayed vulnerability remediation,Protect,Vulnerability Management,3,4,12,High,Vulnerability scanning is performed,Some findings exceed target remediation timelines,Enforce severity-based remediation SLAs and document approved exceptions
NIST-R-007,Incomplete threat detection coverage,Detect,Detection Coverage,2,4,8,Medium,Detection rules and centralized logging exist,Formal detection coverage reviews are inconsistent,Perform quarterly detection coverage reviews and document monitoring gaps
NIST-R-008,Incident response failure,Respond,Incident Response Testing,3,5,15,High,Incident response plan exists,Tabletop exercises are not performed consistently,Conduct annual tabletop exercises and track corrective actions
NIST-R-009,Backup restoration failure,Recover,Backup Restoration Testing,2,5,10,Medium,Regular backups are performed,Restore testing is inconsistent,Perform quarterly restoration tests and document recovery results
NIST-R-010,Outdated cybersecurity policies,Govern,Cybersecurity Policy,2,4,8,Medium,Security policies exist,Annual policy review evidence is incomplete,Establish an annual policy review and approval cycle
NIST-R-011,Missed compliance obligation,Govern,Compliance Oversight,2,4,8,Medium,Some compliance responsibilities are documented,A complete compliance obligations register does not exist,Maintain a compliance obligations register with accountable owners
